Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Other Fossil,%,80.92
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Solar,%,7.96
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Hydro,%,0.03
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Other Fossil,%,5.33
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Solar,%,0.04
India,IND,Andaman and Nicobar,AN,Union territory,01-12-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Hydro,%,8.85
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Other Fossil,%,80.38
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Solar,%,10.77
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Hydro,%,0.02
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Other Fossil,%,4.7
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Solar,%,0.04
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2020,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Hydro,%,6.15
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Other Fossil,%,86.71
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Solar,%,7.14
